"","subID","Session","critRT","Trial","Congruency","ACC","RT","block","BlockType","Valence","Feedback"
"1",1,5,1209,1,"congruent",1,1119,0,"Baseline","None","None"
"2",1,5,1209,2,"incongruent",1,569,0,"Baseline","None","None"
"3",1,5,1209,3,"congruent",0,1571,0,"Baseline","None","None"
"4",1,5,1209,4,"incongruent",1,1575,0,"Baseline","None","None"
"5",1,5,1209,5,"congruent",0,0,0,"Baseline","None","None"
"6",1,5,1209,6,"congruent",1,1372,0,"Baseline","None","None"
"7",1,5,1209,7,"congruent",1,935,0,"Baseline","None","None"
"8",1,5,1209,8,"incongruent",0,1191,0,"Baseline","None","None"
"9",1,5,1209,9,"incongruent",1,1879,0,"Baseline","None","None"
"10",1,5,1209,10,"incongruent",0,0,0,"Baseline","None","None"
"11",1,5,1209,11,"congruent",1,1685,0,"Baseline","None","None"
"12",1,5,1209,12,"congruent",0,0,0,"Baseline","None","None"
"13",1,5,1209,13,"congruent",0,0,0,"Baseline","None","None"
"14",1,5,1209,14,"congruent",1,766,0,"Baseline","None","None"
"15",1,5,1209,15,"congruent",1,1952,0,"Baseline","None","None"
"16",1,5,1209,16,"incongruent",1,1056,0,"Baseline","None","None"
"17",1,5,1209,17,"incongruent",1,1304,0,"Baseline","None","None"
"18",1,5,1209,18,"incongruent",1,1439,0,"Baseline","None","None"
"19",1,5,1209,19,"congruent",0,0,0,"Baseline","None","None"
"20",1,5,1209,20,"congruent",1,1020,0,"Baseline","None","None"
"21",1,5,1209,21,"congruent",1,1586,0,"Baseline","None","None"
"22",1,5,1209,22,"incongruent",1,1255,0,"Baseline","None","None"
"23",1,5,1209,23,"congruent",0,1028,0,"Baseline","None","None"
"24",1,5,1209,24,"incongruent",1,668,0,"Baseline","None","None"
"25",1,5,1209,25,"congruent",1,1186,0,"Baseline","None","None"
"26",1,5,1209,26,"incongruent",1,1178,0,"Baseline","None","None"
"27",1,5,1209,27,"incongruent",1,954,0,"Baseline","None","None"
"28",1,5,1209,28,"congruent",0,1991,0,"Baseline","None","None"
"29",1,5,1209,29,"incongruent",1,1514,0,"Baseline","None","None"
"30",1,5,1209,30,"congruent",1,1182,0,"Baseline","None","None"
"31",1,5,1209,31,"incongruent",1,1980,0,"Baseline","None","None"
"32",1,5,1209,32,"incongruent",1,1757,0,"Baseline","None","None"
"33",1,5,1209,33,"incongruent",1,1787,0,"Baseline","None","None"
"34",1,5,1209,34,"incongruent",1,1259,0,"Baseline","None","None"
"35",1,5,1209,35,"congruent",1,1004,0,"Baseline","None","None"
"36",1,5,1209,36,"congruent",1,1156,0,"Baseline","None","None"
"37",1,5,1209,37,"congruent",1,1619,0,"Baseline","None","None"
"38",1,5,1209,38,"incongruent",1,1813,0,"Baseline","None","None"
"39",1,5,1209,39,"congruent",0,1789,0,"Baseline","None","None"
"40",1,5,1209,40,"congruent",1,1363,0,"Baseline","None","None"
"41",1,5,1209,41,"incongruent",1,1364,0,"Baseline","None","None"
"42",1,5,1209,42,"incongruent",1,1122,0,"Baseline","None","None"
"43",1,5,1209,43,"congruent",1,1355,0,"Baseline","None","None"
"44",1,5,1209,44,"congruent",1,1724,0,"Baseline","None","None"
"45",1,5,1209,45,"incongruent",0,1897,0,"Baseline","None","None"
"46",1,5,1209,46,"congruent",1,1661,0,"Baseline","None","None"
"47",1,5,1209,47,"incongruent",0,1385,0,"Baseline","None","None"
"48",1,5,1209,48,"incongruent",1,1879,0,"Baseline","None","None"
"49",1,5,1209,49,"congruent",1,962,0,"Baseline","None","None"
"50",1,5,1209,50,"incongruent",1,1128,0,"Baseline","None","None"
"51",1,5,1209,51,"incongruent",1,993,0,"Baseline","None","None"
"52",1,5,1209,52,"congruent",1,1194,0,"Baseline","None","None"
"53",1,5,1209,53,"congruent",1,1444,0,"Baseline","None","None"
"54",1,5,1209,54,"incongruent",1,1807,0,"Baseline","None","None"
"55",1,5,1209,55,"incongruent",1,653,0,"Baseline","None","None"
"56",1,5,1209,56,"incongruent",0,0,0,"Baseline","None","None"
"57",1,5,1209,57,"incongruent",1,728,0,"Baseline","None","None"
"58",1,5,1209,58,"congruent",1,1010,0,"Baseline","None","None"
"59",1,5,1209,59,"congruent",1,1319,0,"Baseline","None","None"
"60",1,5,1209,60,"incongruent",1,1819,0,"Baseline","None","None"
"61",1,5,1209,61,"incongruent",1,1030,0,"Baseline","None","None"
"62",1,5,1209,62,"incongruent",1,1870,0,"Baseline","None","None"
"63",1,5,1209,63,"incongruent",1,1165,0,"Baseline","None","None"
"64",1,5,1209,64,"incongruent",1,1337,0,"Baseline","None","None"
"65",1,5,1209,65,"incongruent",1,1402,0,"Baseline","None","None"
"66",1,5,1209,66,"incongruent",1,1643,0,"Baseline","None","None"
"67",1,5,1209,67,"incongruent",1,1731,0,"Baseline","None","None"
"68",1,5,1209,68,"congruent",0,0,0,"Baseline","None","None"
"69",1,5,1209,69,"congruent",1,1517,0,"Baseline","None","None"
"70",1,5,1209,70,"incongruent",1,1704,0,"Baseline","None","None"
"71",1,5,1209,71,"congruent",1,1387,0,"Baseline","None","None"
"72",1,5,1209,72,"congruent",1,1095,0,"Baseline","None","None"
"73",1,5,1209,73,"incongruent",1,1415,0,"Baseline","None","None"
"74",1,5,1209,74,"congruent",1,1447,0,"Baseline","None","None"
"75",1,5,1209,75,"incongruent",0,1236,0,"Baseline","None","None"
"76",1,5,1209,76,"congruent",0,0,0,"Baseline","None","None"
"77",1,5,1209,77,"incongruent",1,774,0,"Baseline","None","None"
"78",1,5,1209,78,"incongruent",1,1465,0,"Baseline","None","None"
"79",1,5,1209,79,"incongruent",0,1371,0,"Baseline","None","None"
"80",1,5,1209,80,"congruent",0,0,0,"Baseline","None","None"
"81",1,5,1209,81,"congruent",1,446,0,"Baseline","None","None"
"82",1,5,1209,82,"incongruent",1,757,0,"Baseline","None","None"
"83",1,5,1209,83,"congruent",1,1547,0,"Baseline","None","None"
"84",1,5,1209,84,"congruent",1,825,0,"Baseline","None","None"
"85",1,5,1209,85,"congruent",0,0,0,"Baseline","None","None"
"86",1,5,1209,86,"congruent",0,1886,0,"Baseline","None","None"
"87",1,5,1209,87,"incongruent",1,1718,0,"Baseline","None","None"
"88",1,5,1209,88,"congruent",1,1973,0,"Baseline","None","None"
"89",1,5,1209,89,"incongruent",0,1164,0,"Baseline","None","None"
"90",1,5,1209,90,"incongruent",1,1209,0,"Baseline","None","None"
"91",1,5,1209,91,"congruent",1,1764,0,"Baseline","None","None"
"92",1,5,1209,92,"incongruent",1,1757,0,"Baseline","None","None"
"93",1,5,1209,93,"congruent",1,1373,0,"Baseline","None","None"
"94",1,5,1209,94,"congruent",1,1276,0,"Baseline","None","None"
"95",1,5,1209,95,"congruent",1,1875,0,"Baseline","None","None"
"96",1,5,1209,96,"congruent",0,1118,0,"Baseline","None","None"
"97",2,5,763,1,"congruent",1,491,0,"Baseline","None","None"
"98",2,5,763,2,"incongruent",1,692,0,"Baseline","None","None"
"99",2,5,763,3,"congruent",1,614,0,"Baseline","None","None"
"100",2,5,763,4,"incongruent",1,1162,0,"Baseline","None","None"
"101",2,5,763,5,"congruent",1,1333,0,"Baseline","None","None"
"102",2,5,763,6,"congruent",1,613,0,"Baseline","None","None"
"103",2,5,763,7,"congruent",1,544,0,"Baseline","None","None"
"104",2,5,763,8,"incongruent",1,1390,0,"Baseline","None","None"
"105",2,5,763,9,"incongruent",1,763,0,"Baseline","None","None"
"106",2,5,763,10,"incongruent",1,1003,0,"Baseline","None","None"
"107",2,5,763,11,"congruent",1,509,0,"Baseline","None","None"
"108",2,5,763,12,"congruent",1,430,0,"Baseline","None","None"
"109",2,5,763,13,"congruent",1,1123,0,"Baseline","None","None"
"110",2,5,763,14,"congruent",1,1274,0,"Baseline","None","None"
"111",2,5,763,15,"congruent",1,445,0,"Baseline","None","None"
"112",2,5,763,16,"incongruent",1,729,0,"Baseline","None","None"
"113",2,5,763,17,"incongruent",1,1183,0,"Baseline","None","None"
"114",2,5,763,18,"incongruent",1,1848,0,"Baseline","None","None"
"115",2,5,763,19,"congruent",1,1035,0,"Baseline","None","None"
"116",2,5,763,20,"congruent",1,939,0,"Baseline","None","None"
"117",2,5,763,21,"congruent",1,975,0,"Baseline","None","None"
"118",2,5,763,22,"incongruent",1,1169,0,"Baseline","None","None"
"119",2,5,763,23,"congruent",1,896,0,"Baseline","None","None"
"120",2,5,763,24,"incongruent",1,795,0,"Baseline","None","None"
"121",2,5,763,25,"congruent",1,996,0,"Baseline","None","None"
"122",2,5,763,26,"incongruent",1,1584,0,"Baseline","None","None"
"123",2,5,763,27,"incongruent",1,877,0,"Baseline","None","None"
"124",2,5,763,28,"congruent",1,1758,0,"Baseline","None","None"
"125",2,5,763,29,"incongruent",1,1245,0,"Baseline","None","None"
"126",2,5,763,30,"congruent",1,574,0,"Baseline","None","None"
"127",2,5,763,31,"incongruent",1,1136,0,"Baseline","None","None"
"128",2,5,763,32,"incongruent",0,1704,0,"Baseline","None","None"
"129",2,5,763,33,"incongruent",1,493,0,"Baseline","None","None"
"130",2,5,763,34,"incongruent",1,712,0,"Baseline","None","None"
"131",2,5,763,35,"congruent",1,1094,0,"Baseline","None","None"
"132",2,5,763,36,"congruent",0,702,0,"Baseline","None","None"
"133",2,5,763,37,"congruent",1,488,0,"Baseline","None","None"
"134",2,5,763,38,"incongruent",1,735,0,"Baseline","None","None"
"135",2,5,763,39,"congruent",1,964,0,"Baseline","None","None"
"136",2,5,763,40,"congruent",0,1550,0,"Baseline","None","None"
