subID,RecordedDate,Duration (in seconds),HappyFace_Valence,HappyFace_Arousal,SadFace_Valence,SadFace_Arousal,NeutralFace_Valence,NeutralFace_Arousal,HappyFace_1Motivation,HappyFace_1Liking,HappyFace_1Performance,SadFace_1Motivation,SadFace_1Liking,SadFace_1Performance,NeutFace_1Motivation,NeutFace_1Liking,NeutFace_1Performance,HappyFace_2Motivation,HappyFace_2Liking,HappyFace_2Performance,SadFace_2Motivation,SadFace_2Liking,SadFace_2Performance,NeutFace_2Motivation,NeutFace_2Liking,NeutFace_2Performance,HappyFace_4Motivation,HappyFace_4Liking,HappyFace_4Performance,SadFace_4Motivation,SadFace_4Liking,SadFace_4Performance,NeutFace_4Motivation,NeutFace_4Liking,NeutFace_4Performance,Social_Strategy,Social_Motivation,Money_StrategySocial,Money_StrategySocial
1,2/9/17 12:20,136,5,5,3,3,4,4,5,5,5,3,4,4,5,5,5,5,5,5,4,5,3,5,5,5,6,6,5,5,4,3,6,6,5,No,"No, though I did not particularly enjoy the sad faces","No, just paid more attention for the $$$$ trials",More motivated for $$$$
2,2/14/17 20:01,320,4,5,6,6,4,5,4,3,6,5,6,6,4,4,5,5,6,6,5,6,6,5,5,6,7,7,7,7,7,7,6,6,7,Nothing different among trials,For some reason the happy faces bored me more than the others. ,I would pay extra attention I saw the $$$$.,$$$$ Was more motivating because I knew I was losing more money.
3,2/16/17 12:05,156,6,5,3,5,4,4,5,4,6,5,5,6,5,5,6,6,6,6,5,5,4,6,5,5,7,6,6,5,3,4,5,5,5,Not really,"more motivated with the happy faces, but not less motivated with the sad faces",Not really,$$$$ happy was the most motivated
4,2/20/17 20:39,128,5,2,3,1,3,2,7,1,5,7,1,4,7,1,5,7,1,5,7,1,4,7,1,4,7,1,5,7,1,5,7,1,5,No,No,No,"No, I tried not to be"
5,2/23/17 12:04,300,6,5,4,4,2,4,6,6,4,4,4,4,6,5,4,6,6,5,5,4,4,6,5,4,7,7,5,5,4,4,5,5,4,"At one point, I tried to make a similar face or have a similar feeling as the feedback (happy, sad, or neutral). I am not sure if it really worked.",There was a bit of conflict when I was trying to get questions right only to see sad faces.,"I tried to pay more attention on ""$$$$"" trials, but since I had been doing the same task for quite a while, it was hard to concentrate in general.","I was slightly more motivated on ""$$$$"" trials."
6,2/28/17 19:42,362,7,6,3,1,4,2,5,3,6,5,3,6,6,4,6,6,5,6,6,4,6,6,4,6,7,2,4,7,2,4,7,2,4,"No, my strategies were the same. However, I did find that I was more sad when I missed one on the Happy Face than the others and I missed seeing the happy faces if I did not get them. ","Slightly more motivated by the happy faces, but I think the main motivation was the dollar signs. ","I tried to concentrate harder on the $$$$ trials and remain more relaxed on the $ or $$ trials. However, sometimes being more relaxed produced better results than being more concentrated and stressed by the $$$$. ","I was more motivated by the $$$$ and was more upset when I missed them. $ was the least motivation, and I was okay if I missed those. "
7,3/2/17 12:11,156,4,2,4,2,4,2,5,4,6,5,4,6,5,4,6,6,4,6,6,4,6,6,4,6,6,5,6,6,6,6,6,6,6,No I didn't change my strategy at all. I didn't have any reaction to the faces.,I noticed no difference in my motivation based on the feedback.,My strategy didn't change here at all/,I was motivated for all of them considering there was no negative aide effect. 
8,3/6/17 20:09,348,5,4,2,5,4,4,4,4,3,5,3,3,4,3,5,4,3,3,4,4,5,4,3,5,4,4,3,5,5,3,4,3,5,No I did not. ,"I think the sad face was discouraging. I didn't like looking at the neutral faces, and I was pretty uncomfortable by the happy faces, too. ",I did not. ,I did not. I was just trying to focus on getting the most correct as possible.
9,3/20/17 20:37,142,7,4,5,3,5,4,4,4,4,5,4,3,5,5,3,5,5,5,6,5,6,6,6,4,7,6,5,7,5,5,7,5,4,No different strategies,"Not any more or less motivated, faces were fun to look at either way",Would try to focus more on the $$$$ trials.,"Most motivated on $$$$ trials, wanted most money."
10,3/28/17 20:00,323,5,2,3,2,4,2,5,4,4,5,4,3,5,4,4,6,4,4,5,4,4,5,4,4,5,4,4,5,4,4,5,4,4,,more motivated,,
11,3/30/17 12:18,233,4,1,4,1,4,1,7,7,3,7,7,3,7,7,3,7,7,3,7,7,3,7,7,3,7,7,3,7,7,3,7,7,3,"My strategies stayed the same, and I did not pay too much attention to the faces","The feedback did not affect my motivation. But my overall energy level and focus was lower during these trials in comparison to the liquid feedback trials, so my accuracy and reaction times decreased","No, my strategies stayed the same",My motivation stayed the same during each trial
12,4/11/17 19:54,241,5,2,3,2,4,1,5,4,5,5,3,4,4,3,4,6,4,4,6,2,2,6,3,3,7,5,5,7,3,3,7,3,3,no all the same strategy,no not really,no I used the same strategies throughout,"yes, i felt more pressure the more the $ amount"
13,4/18/17 10:49,427,5,5,3,5,4,4,5,5,5,4,4,5,6,6,5,6,6,7,6,5,7,6,6,6,7,7,5,7,5,5,7,7,5,"During the sad and neutral faces I tried to ignore the face presented by attending, but not observing any details. Oppositely, on the happy face trials I attended and observed the faces presented as if they were everyday people.","I was less motivated during the sad face and neutral face conditions as it felt as I was stealing money from them almost. However, in the happy face condition it was as if they wanted me to succeed and attain the most money possible, thus increasing my motivation.","I tried to increase focus as the value of the question went up, however a few times I was hyper focused and to impulsive on the decision.",More motivated as the value went up as it is associated with monetary reward.
