"","subID","Session","critRT","Trial","Congruency","Reward","ACC","RT","block","IncentiveType","Valence","Feedback"
"1",1,8,1209,1,"incongruent","Reward1",0,1032,3,"liquid","appetitive","juice"
"2",1,8,1209,2,"incongruent","Reward1",1,458,3,"liquid","appetitive","juice"
"3",1,8,1209,3,"congruent","Reward1",1,762,3,"liquid","appetitive","juice"
"4",1,8,1209,4,"congruent","Reward1",1,570,3,"liquid","appetitive","juice"
"5",1,8,1209,5,"incongruent","Reward2",1,480,3,"liquid","appetitive","juice"
"6",1,8,1209,6,"congruent","Reward1",1,465,3,"liquid","appetitive","juice"
"7",1,8,1209,7,"incongruent","Reward2",0,573,3,"liquid","appetitive","juice"
"8",1,8,1209,8,"congruent","Reward4",1,697,3,"liquid","appetitive","juice"
"9",1,8,1209,9,"incongruent","Reward2",1,554,3,"liquid","appetitive","juice"
"10",1,8,1209,10,"incongruent","Reward2",1,490,3,"liquid","appetitive","juice"
"11",1,8,1209,11,"congruent","Reward1",0,742,3,"liquid","appetitive","juice"
"12",1,8,1209,12,"incongruent","Reward2",0,491,3,"liquid","appetitive","juice"
"13",1,8,1209,13,"congruent","Reward4",1,990,3,"liquid","appetitive","juice"
"14",1,8,1209,14,"congruent","Reward2",1,547,3,"liquid","appetitive","juice"
"15",1,8,1209,15,"incongruent","Reward1",1,644,3,"liquid","appetitive","juice"
"16",1,8,1209,16,"incongruent","Reward1",0,439,3,"liquid","appetitive","juice"
"17",1,8,1209,17,"congruent","Reward4",1,585,3,"liquid","appetitive","juice"
"18",1,8,1209,18,"incongruent","Reward2",1,634,3,"liquid","appetitive","juice"
"19",1,8,1209,19,"congruent","Reward4",1,767,3,"liquid","appetitive","juice"
"20",1,8,1209,20,"congruent","Reward1",1,615,3,"liquid","appetitive","juice"
"21",1,8,1209,21,"congruent","Reward2",0,613,3,"liquid","appetitive","juice"
"22",1,8,1209,22,"incongruent","Reward4",1,939,3,"liquid","appetitive","juice"
"23",1,8,1209,23,"congruent","Reward2",1,1177,3,"liquid","appetitive","juice"
"24",1,8,1209,24,"incongruent","Reward2",1,783,3,"liquid","appetitive","juice"
"25",1,8,1209,25,"incongruent","Reward1",1,725,3,"liquid","appetitive","juice"
"26",1,8,1209,26,"incongruent","Reward1",1,444,3,"liquid","appetitive","juice"
"27",1,8,1209,27,"incongruent","Reward4",1,459,3,"liquid","appetitive","juice"
"28",1,8,1209,28,"congruent","Reward4",1,1151,3,"liquid","appetitive","juice"
"29",1,8,1209,29,"congruent","Reward2",0,813,3,"liquid","appetitive","juice"
"30",1,8,1209,30,"incongruent","Reward4",1,534,3,"liquid","appetitive","juice"
"31",1,8,1209,31,"incongruent","Reward2",0,623,3,"liquid","appetitive","juice"
"32",1,8,1209,32,"incongruent","Reward2",1,867,3,"liquid","appetitive","juice"
"33",1,8,1209,33,"congruent","Reward4",1,880,3,"liquid","appetitive","juice"
"34",1,8,1209,34,"incongruent","Reward4",1,716,3,"liquid","appetitive","juice"
"35",1,8,1209,35,"congruent","Reward4",1,541,3,"liquid","appetitive","juice"
"36",1,8,1209,36,"congruent","Reward2",1,922,3,"liquid","appetitive","juice"
"37",1,8,1209,37,"incongruent","Reward4",0,644,3,"liquid","appetitive","juice"
"38",1,8,1209,38,"incongruent","Reward4",1,418,3,"liquid","appetitive","juice"
"39",1,8,1209,39,"incongruent","Reward4",1,918,3,"liquid","appetitive","juice"
"40",1,8,1209,40,"incongruent","Reward4",0,803,3,"liquid","appetitive","juice"
"41",1,8,1209,41,"congruent","Reward2",0,603,3,"liquid","appetitive","juice"
"42",1,8,1209,42,"congruent","Reward1",1,555,3,"liquid","appetitive","juice"
"43",1,8,1209,43,"congruent","Reward4",1,544,3,"liquid","appetitive","juice"
"44",1,8,1209,44,"congruent","Reward2",1,592,3,"liquid","appetitive","juice"
"45",1,8,1209,45,"incongruent","Reward1",1,443,3,"liquid","appetitive","juice"
"46",1,8,1209,46,"incongruent","Reward1",0,511,3,"liquid","appetitive","juice"
"47",1,8,1209,47,"congruent","Reward2",1,668,3,"liquid","appetitive","juice"
"48",1,8,1209,48,"incongruent","Reward1",0,728,3,"liquid","appetitive","juice"
"49",1,8,1209,49,"incongruent","Reward2",1,674,3,"liquid","appetitive","juice"
"50",1,8,1209,50,"congruent","Reward1",1,425,3,"liquid","appetitive","juice"
"51",1,8,1209,51,"congruent","Reward4",1,455,3,"liquid","appetitive","juice"
"52",1,8,1209,52,"incongruent","Reward4",1,530,3,"liquid","appetitive","juice"
"53",1,8,1209,53,"incongruent","Reward2",0,813,3,"liquid","appetitive","juice"
"54",1,8,1209,54,"incongruent","Reward1",1,988,3,"liquid","appetitive","juice"
"55",1,8,1209,55,"congruent","Reward1",1,729,3,"liquid","appetitive","juice"
"56",1,8,1209,56,"congruent","Reward1",1,552,3,"liquid","appetitive","juice"
"57",1,8,1209,57,"congruent","Reward4",1,386,3,"liquid","appetitive","juice"
"58",1,8,1209,58,"incongruent","Reward1",1,438,3,"liquid","appetitive","juice"
"59",1,8,1209,59,"congruent","Reward2",0,243,3,"liquid","appetitive","juice"
"60",1,8,1209,60,"incongruent","Reward2",1,310,3,"liquid","appetitive","juice"
"61",1,8,1209,61,"congruent","Reward4",1,1009,3,"liquid","appetitive","juice"
"62",1,8,1209,62,"congruent","Reward4",1,382,3,"liquid","appetitive","juice"
"63",1,8,1209,63,"congruent","Reward1",1,456,3,"liquid","appetitive","juice"
"64",1,8,1209,64,"congruent","Reward2",0,628,3,"liquid","appetitive","juice"
"65",1,8,1209,65,"congruent","Reward2",1,517,3,"liquid","appetitive","juice"
"66",1,8,1209,66,"congruent","Reward1",0,359,3,"liquid","appetitive","juice"
"67",1,8,1209,67,"incongruent","Reward1",1,332,3,"liquid","appetitive","juice"
"68",1,8,1209,68,"congruent","Reward2",1,553,3,"liquid","appetitive","juice"
"69",1,8,1209,69,"congruent","Reward2",1,331,3,"liquid","appetitive","juice"
"70",1,8,1209,70,"congruent","Reward2",1,322,3,"liquid","appetitive","juice"
"71",1,8,1209,71,"incongruent","Reward4",1,388,3,"liquid","appetitive","juice"
"72",1,8,1209,72,"incongruent","Reward2",0,562,3,"liquid","appetitive","juice"
"73",1,8,1209,73,"incongruent","Reward4",1,437,3,"liquid","appetitive","juice"
"74",1,8,1209,74,"incongruent","Reward2",1,741,3,"liquid","appetitive","juice"
"75",1,8,1209,75,"incongruent","Reward4",0,779,3,"liquid","appetitive","juice"
"76",1,8,1209,76,"congruent","Reward1",1,705,3,"liquid","appetitive","juice"
"77",1,8,1209,77,"incongruent","Reward2",0,339,3,"liquid","appetitive","juice"
"78",1,8,1209,78,"incongruent","Reward4",1,1079,3,"liquid","appetitive","juice"
"79",1,8,1209,79,"incongruent","Reward1",1,664,3,"liquid","appetitive","juice"
"80",1,8,1209,80,"incongruent","Reward4",1,503,3,"liquid","appetitive","juice"
"81",1,8,1209,81,"congruent","Reward1",0,750,3,"liquid","appetitive","juice"
"82",1,8,1209,82,"congruent","Reward4",1,357,3,"liquid","appetitive","juice"
"83",1,8,1209,83,"congruent","Reward4",0,559,3,"liquid","appetitive","juice"
"84",1,8,1209,84,"congruent","Reward2",1,1384,3,"liquid","appetitive","juice"
"85",1,8,1209,85,"incongruent","Reward1",1,617,3,"liquid","appetitive","juice"
"86",1,8,1209,86,"incongruent","Reward4",1,742,3,"liquid","appetitive","juice"
"87",1,8,1209,87,"congruent","Reward1",1,790,3,"liquid","appetitive","juice"
"88",1,8,1209,88,"congruent","Reward4",1,568,3,"liquid","appetitive","juice"
"89",1,8,1209,89,"incongruent","Reward2",1,511,3,"liquid","appetitive","juice"
"90",1,8,1209,90,"incongruent","Reward1",0,305,3,"liquid","appetitive","juice"
"91",1,8,1209,91,"incongruent","Reward4",1,590,3,"liquid","appetitive","juice"
"92",1,8,1209,92,"congruent","Reward2",1,550,3,"liquid","appetitive","juice"
"93",1,8,1209,93,"incongruent","Reward1",1,585,3,"liquid","appetitive","juice"
"94",1,8,1209,94,"congruent","Reward1",0,468,3,"liquid","appetitive","juice"
"95",1,8,1209,95,"congruent","Reward4",1,957,3,"liquid","appetitive","juice"
"96",1,8,1209,96,"congruent","Reward1",0,871,3,"liquid","appetitive","juice"
"97",1,7,1209,1,"incongruent","Reward2",1,538,2,"liquid","neutral","neutral"
"98",1,7,1209,2,"congruent","Reward1",1,645,2,"liquid","neutral","neutral"
"99",1,7,1209,3,"incongruent","Reward1",1,1038,2,"liquid","neutral","neutral"
"100",1,7,1209,4,"congruent","Reward4",1,564,2,"liquid","neutral","neutral"
"101",1,7,1209,5,"congruent","Reward2",1,704,2,"liquid","neutral","neutral"
"102",1,7,1209,6,"incongruent","Reward4",1,617,2,"liquid","neutral","neutral"
"103",1,7,1209,7,"incongruent","Reward1",1,750,2,"liquid","neutral","neutral"
"104",1,7,1209,8,"incongruent","Reward4",1,965,2,"liquid","neutral","neutral"
"105",1,7,1209,9,"incongruent","Reward1",1,473,2,"liquid","neutral","neutral"
"106",1,7,1209,10,"incongruent","Reward2",0,587,2,"liquid","neutral","neutral"
"107",1,7,1209,11,"congruent","Reward4",1,839,2,"liquid","neutral","neutral"
"108",1,7,1209,12,"incongruent","Reward4",1,508,2,"liquid","neutral","neutral"
"109",1,7,1209,13,"incongruent","Reward2",1,675,2,"liquid","neutral","neutral"
"110",1,7,1209,14,"incongruent","Reward4",1,464,2,"liquid","neutral","neutral"
"111",1,7,1209,15,"incongruent","Reward1",1,642,2,"liquid","neutral","neutral"
"112",1,7,1209,16,"congruent","Reward2",0,604,2,"liquid","neutral","neutral"
"113",1,7,1209,17,"congruent","Reward4",1,532,2,"liquid","neutral","neutral"
"114",1,7,1209,18,"congruent","Reward2",0,480,2,"liquid","neutral","neutral"
"115",1,7,1209,19,"congruent","Reward1",0,769,2,"liquid","neutral","neutral"
"116",1,7,1209,20,"congruent","Reward4",1,460,2,"liquid","neutral","neutral"
"117",1,7,1209,21,"congruent","Reward1",1,601,2,"liquid","neutral","neutral"
"118",1,7,1209,22,"congruent","Reward4",0,612,2,"liquid","neutral","neutral"
"119",1,7,1209,23,"congruent","Reward4",1,945,2,"liquid","neutral","neutral"
"120",1,7,1209,24,"congruent","Reward2",0,982,2,"liquid","neutral","neutral"
"121",1,7,1209,25,"congruent","Reward4",1,1393,2,"liquid","neutral","neutral"
"122",1,7,1209,26,"congruent","Reward2",1,1209,2,"liquid","neutral","neutral"
"123",1,7,1209,27,"incongruent","Reward1",1,487,2,"liquid","neutral","neutral"
"124",1,7,1209,28,"congruent","Reward2",1,751,2,"liquid","neutral","neutral"
"125",1,7,1209,29,"congruent","Reward2",1,845,2,"liquid","neutral","neutral"
"126",1,7,1209,30,"incongruent","Reward2",1,950,2,"liquid","neutral","neutral"
"127",1,7,1209,31,"incongruent","Reward4",1,684,2,"liquid","neutral","neutral"
"128",1,7,1209,32,"incongruent","Reward4",1,546,2,"liquid","neutral","neutral"
"129",1,7,1209,33,"incongruent","Reward2",0,1203,2,"liquid","neutral","neutral"
"130",1,7,1209,34,"congruent","Reward1",0,663,2,"liquid","neutral","neutral"
"131",1,7,1209,35,"incongruent","Reward4",1,927,2,"liquid","neutral","neutral"
"132",1,7,1209,36,"congruent","Reward1",0,622,2,"liquid","neutral","neutral"
"133",1,7,1209,37,"congruent","Reward4",1,575,2,"liquid","neutral","neutral"
"134",1,7,1209,38,"incongruent","Reward1",1,688,2,"liquid","neutral","neutral"
"135",1,7,1209,39,"incongruent","Reward2",1,954,2,"liquid","neutral","neutral"
"136",1,7,1209,40,"incongruent","Reward4",1,427,2,"liquid","neutral","neutral"
"137",1,7,1209,41,"congruent","Reward2",1,441,2,"liquid","neutral","neutral"
"138",1,7,1209,42,"congruent","Reward1",0,738,2,"liquid","neutral","neutral"
"139",1,7,1209,43,"incongruent","Reward2",0,503,2,"liquid","neutral","neutral"
"140",1,7,1209,44,"incongruent","Reward4",0,711,2,"liquid","neutral","neutral"
"141",1,7,1209,45,"congruent","Reward2",0,414,2,"liquid","neutral","neutral"
"142",1,7,1209,46,"congruent","Reward1",1,573,2,"liquid","neutral","neutral"
"143",1,7,1209,47,"incongruent","Reward2",0,794,2,"liquid","neutral","neutral"
"144",1,7,1209,48,"congruent","Reward1",1,587,2,"liquid","neutral","neutral"
"145",1,7,1209,49,"incongruent","Reward4",1,468,2,"liquid","neutral","neutral"
"146",1,7,1209,50,"congruent","Reward4",0,807,2,"liquid","neutral","neutral"
"147",1,7,1209,51,"congruent","Reward1",1,538,2,"liquid","neutral","neutral"
"148",1,7,1209,52,"incongruent","Reward1",1,951,2,"liquid","neutral","neutral"
"149",1,7,1209,53,"congruent","Reward2",1,715,2,"liquid","neutral","neutral"
"150",1,7,1209,54,"incongruent","Reward1",1,625,2,"liquid","neutral","neutral"
"151",1,7,1209,55,"incongruent","Reward2",0,425,2,"liquid","neutral","neutral"
"152",1,7,1209,56,"incongruent","Reward2",1,801,2,"liquid","neutral","neutral"
"153",1,7,1209,57,"incongruent","Reward1",1,646,2,"liquid","neutral","neutral"
"154",1,7,1209,58,"incongruent","Reward2",1,846,2,"liquid","neutral","neutral"
"155",1,7,1209,59,"congruent","Reward4",0,894,2,"liquid","neutral","neutral"
"156",1,7,1209,60,"congruent","Reward1",0,743,2,"liquid","neutral","neutral"
"157",1,7,1209,61,"incongruent","Reward2",1,537,2,"liquid","neutral","neutral"
"158",1,7,1209,62,"incongruent","Reward2",1,759,2,"liquid","neutral","neutral"
"159",1,7,1209,63,"incongruent","Reward2",0,703,2,"liquid","neutral","neutral"
"160",1,7,1209,64,"incongruent","Reward4",1,572,2,"liquid","neutral","neutral"
"161",1,7,1209,65,"incongruent","Reward4",1,573,2,"liquid","neutral","neutral"
"162",1,7,1209,66,"incongruent","Reward4",0,707,2,"liquid","neutral","neutral"
"163",1,7,1209,67,"incongruent","Reward1",1,586,2,"liquid","neutral","neutral"
"164",1,7,1209,68,"incongruent","Reward2",1,763,2,"liquid","neutral","neutral"
"165",1,7,1209,69,"congruent","Reward1",1,761,2,"liquid","neutral","neutral"
"166",1,7,1209,70,"congruent","Reward2",1,457,2,"liquid","neutral","neutral"
"167",1,7,1209,71,"congruent","Reward4",1,433,2,"liquid","neutral","neutral"
"168",1,7,1209,72,"incongruent","Reward4",1,573,2,"liquid","neutral","neutral"
"169",1,7,1209,73,"incongruent","Reward4",1,463,2,"liquid","neutral","neutral"
